token,dep_type,pos,immediate_head_text,immediate_head_pos,immediate_head_dep_type,higher_head_text,higher_head_pos,higher_head_dep_type,assosiate_phrase,assosiate_phrase_n
лишь,advmod,PART,один,NUM,advcl,один,NUM,advcl,", потому как сдельная оплата ― один из способов увеличения вариативности труда",12.0
лишь,advmod,PART,щиколотки,NOUN,obl,щиколотки,NOUN,obl,до щиколотки,2.0
лишь,advmod,PART,работе,NOUN,obl,работе,NOUN,obl,в работе на заводе ради собственного жилья,7.0
лишь,advmod,PART,одно,NUM,nsubj,одно,NUM,nsubj,одно,1.0
лишь,advmod,PART,часть,NOUN,obj,часть,NOUN,obj,часть истинного величия произведения,4.0
лишь,advmod,PART,том,PRON,obl,том,PRON,obl,"в том , что родилась в этих краях",8.0
лишь,advmod,PART,один,NUM,nummod,компонент,NOUN,parataxis,― один компонент,3.0
лишь,advmod,PART,уметь,VERB,csubj,уметь,VERB,csubj,уметь управлять ее настроением,4.0
лишь,advmod,PART,того,PRON,obl,того,PRON,obl,для того чтобы раззадорить тебя,5.0
лишь,advmod,PART,суммировал,VERB,conj,суммировал,VERB,conj,", он суммировал достижения народной традиции , итальянских заимствований и рационалистического мышления , введя в бытовой обиход понятие "" вкус """,21.0
лишь,advmod,PART,приближение,NOUN,obj,приближение,NOUN,obj,как приближение к этой проблеме и не более,8.0
лишь,advmod,PART,части,NOUN,obl,части,NOUN,obl,"части многолетнего исследования подростков ( и наблюдения , и экспериментальное изучение продолжались )",13.0
лишь,advmod,PART,5,NUM,nummod,%,SYM,conj,", а на российском ― 5 %",7.0
лишь,advmod,PART,случаях,NOUN,obl,случаях,NOUN,obl,"в тех случаях , когда присутствует дополнительное давление со стороны бизнеса , руководители которого стремятся выделить ИТ в отдельную структуру и навязать ей работу по новым правилам",27.0
лишь,advmod,PART,%,SYM,obl,%,SYM,obl,"в 10 , 8 % случаев",6.0
лишь,advmod,PART,%,SYM,obl,%,SYM,obl,у 5 - 25 % больных,6.0
лишь,advmod,PART,конце,NOUN,obl,конце,NOUN,obl,в конце инкубационного периода,4.0
лишь,advmod,PART,определения,NOUN,obl,определения,NOUN,obl,для определения того,3.0
лишь,advmod,PART,преподавании,NOUN,obl,преподавании,NOUN,obl,о его факультативном преподавании,4.0
лишь,advmod,PART,необходимость,NOUN,nsubj:pass,необходимость,NOUN,nsubj:pass,необходимость регистрации сертификатов уполномоченных лиц удостоверяющего центра в уполномоченном федеральном органе исполнительной власти,13.0
лишь,advmod,PART,урегулировании,NOUN,obl,урегулировании,NOUN,obl,"при урегулировании арабо - израильского конфликта в соответствии с резолюциями 242 , 338 , 1397 и 1515 Совета Безопасности ООН и Мадридскими принципами",23.0
лишь,advmod,PART,одна,DET,nummod,особи,NOUN,nsubj,одна или две особи,4.0
лишь,advmod,PART,4,NUM,nummod:gov,вида,NOUN,obj,"4 "" хороших "" вида астрофитумов",6.0
лишь,advmod,PART,некоторые,DET,nsubj,некоторые,DET,nsubj,"некоторые , кажущиеся сегодня наиболее опасными , направления научной и практической деятельности человечества в этой области",16.0
лишь,advmod,PART,получили,VERB,conj,получили,VERB,conj,", бы мы вместе получили оргазм",6.0
лишь,advmod,PART,верхушка,NOUN,ROOT,верхушка,NOUN,ROOT,верхушка,1.0
лишь,advmod,PART,первичные,ADJ,amod,дыры,NOUN,obj,первичные чёрные дыры массой более 10 15 г ( масса средней горы на Земле ),15.0
лишь,advmod,PART,рекламные,ADJ,amod,постеры,NOUN,obj,рекламные постеры,2.0
лишь,advmod,PART,той,DET,det,той,DET,det,той,1.0
лишь,advmod,PART,найти,VERB,csubj,найти,VERB,csubj,найти применение,2.0
лишь,advmod,PART,новеллу,NOUN,obj,новеллу,NOUN,obj,новеллу,1.0
лишь,advmod,PART,случаях,NOUN,obl,случаях,NOUN,obl,"в некоторых случаях , на весьма агрегированном уровне описания",9.0
лишь,advmod,PART,тогда,ADV,advmod,сильны,ADJ,ccomp,", что западные страны сильны тогда , когда сотрудничают с Советским Союзом",12.0
лишь,advmod,PART,22,NUM,nummod,млрд,NOUN,obl,22 млрд,2.0
лишь,advmod,PART,часть,NOUN,ROOT,часть,NOUN,ROOT,часть,1.0
лишь,advmod,PART,уровне,NOUN,obl,уровне,NOUN,obl,на содержательном уровне,3.0
лишь,advmod,PART,сигналы,NOUN,obl,сигналы,NOUN,obl,"как сигналы , излучаемые окружающей средой и являющиеся не чем иным , как её отражением",15.0
лишь,advmod,PART,отметим,VERB,conj,отметим,VERB,conj,", отметим , что они имеют "" обратную "" сторону ― данные продукты ( Lotus Notes , Lotus Domino , Domino Designer )",23.0
лишь,advmod,PART,изменить,VERB,csubj,изменить,VERB,csubj,изменить настройки,2.0
лишь,advmod,PART,%,SYM,obj,%,SYM,obj,"около 6 , 0 % всех сельхозугодий",7.0
лишь,advmod,PART,недавно,ADV,advmod,серотипами,NOUN,obl,"более чем 70 серотипами , которые недавно были подразделены на виды",11.0
